code;text;long;starcode;never_main;gender;nonspecific
S610;Åpent sår på finger uten skade på negl;Åpent sår på finger uten skade på negl;;;;
S611;Åpent sår på finger med skade på negl;Åpent sår på finger med skade på negl;;;;
S617;Flere åpne sår på håndledd eller hånd;Flere åpne sår på håndledd og hånd;;;;
S618;Åpent sår på annen spesifisert del av håndledd eller hånd;Åpent sår på andre spesifiserte deler av håndledd og hånd;;;;
S619;Åpent sår på uspesifisert del av håndledd eller hånd;Åpent sår på håndledd og hånd, uspesifisert del;;;;X
S620;Brudd i båtben i hånd;Brudd i båtben i hånd;;;;
S6200;Lukket brudd i båtben i hånd;"Brudd i båtben i hånd;lukket";;;;
S6201;Åpent brudd i båtben i hånd;"Brudd i båtben i hånd;åpent";;;;
S621;Brudd i annen håndrotsben;Brudd i andre håndrotsben;;;;
S6210;Lukket brudd i annen håndrotsben;"Brudd i andre håndrotsben;lukket";;;;
S6211;Åpent brudd i annen håndrotsben;"Brudd i andre håndrotsben;åpent";;;;
S622;Brudd i første metakarp;Brudd i første metakarp;;;;
S6220;Lukket brudd i første metakarp;"Brudd i første metakarp;lukket";;;;
S6221;Åpent brudd i første metakarp;"Brudd i første metakarp;åpent";;;;
S623;Brudd i en annen metakarp;Brudd i en annen metakarp;;;;
S6230;Lukket brudd i en annen metakarp;"Brudd i en annen metakarp;lukket";;;;
S6231;Åpent brudd i en annen metakarp;"Brudd i en annen metakarp;åpent";;;;
S624;Brudd i flere metakarper;Brudd i flere metakarper;;;;
S6240;Lukket brudd i flere metakarper;"Brudd i flere metakarper;lukket";;;;
S6241;Åpent brudd i flere metakarper;"Brudd i flere metakarper;åpent";;;;
S625;Brudd i tommel;Brudd i tommel;;;;
S6250;Lukket brudd i tommel;"Brudd i tommel;lukket";;;;
S6251;Åpent brudd i tommel;"Brudd i tommel;åpent";;;;
S626;Brudd i en annen finger;Brudd i en annen finger;;;;
S6260;Lukket brudd i en annen finger;"Brudd i en annen finger;lukket";;;;
S6261;Åpent brudd i en annen finger;"Brudd i en annen finger;åpent";;;;
S627;Brudd i flere fingre;Brudd i flere fingre;;;;
S6270;Lukket brudd i flere fingre;"Brudd i flere fingre;lukket";;;;
S6271;Åpent brudd i flere fingre;"Brudd i flere fingre;åpent";;;;
S628;Brudd i annen eller uspesifisert del av håndledd eller hånd;Brudd i andre og uspesifiserte deler av håndledd og hånd;;;;
S6280;Lukket brudd i annen eller uspesifisert del av håndledd eller hånd;"Brudd i andre og uspes deler av håndledd/hånd;lukket";;;;
S6281;Åpent brudd i annen eller uspesifisert del av håndledd eller hånd;"Brudd i andre og uspes deler av håndledd/hånd;åpent";;;;
S630;Dislokasjon av håndledd;Dislokasjon av håndledd;;;;
S631;Dislokasjon av finger;Dislokasjon av finger;;;;
S632;Dislokasjon av flere fingre;Dislokasjon av flere fingre;;;;
S633;Traumatisk ruptur av leddbånd i håndledd eller håndrot;Traumatisk ruptur av leddbånd i håndledd og håndrot;;;;
S634;Traumatisk ruptur av leddbånd i finger ved metakarpofalangeal- eller interfalangealledd;Traum. rupt. leddbånd finger ved metak.-fal.-/int.fal.ledd;;;;
S635;Forstuving eller forstrekking av håndledd;Forstuving og forstrekking av håndledd;;;;
S636;Forstuving eller forstrekking av finger;Forstuving og forstrekking av finger;;;;
S637;Forstuving eller forstrekking av annen eller uspesifisert del av hånd;Forstuving og forstrekking av andre og uspes. deler av hånd;;;;
S640;Skade på nervus ulnaris i håndledds- eller håndregion;Skade på nervus ulnaris i håndledds- og håndregionen;;;;
S641;Skade på nervus medianus i håndledds- eller håndregion;Skade på nervus medianus i håndledds- og håndregionen;;;;
S642;Skade på nervus radialis i håndledds- eller håndregion;Skade på nervus radialis i håndledds- og håndregionen;;;;
S643;Skade på fingernerve i tommel;Skade på fingernerve i tommel;;;;
S644;Skade på nerve i annen finger;Skade på nerve i annen finger;;;;
S647;Skade på flere nerver i håndledds- eller håndregion;Skade på flere nerver i håndledds- og håndregionen;;;;
S648;Skade på annen spesifisert nerve i håndledds- eller håndregion;Skade på andre spes. nerver i håndledds- og håndregionen;;;;
S649;Skade på uspesifisert nerve i håndledds- eller håndregion;Skade på uspesifisert nerve i håndledds- og håndregionen;;;;X
S650;Skade på arteria ulnaris i håndledds- eller håndregion;Skade på arteria ulnaris i håndledds- og håndregionen;;;;
S651;Skade på arteria radialis i håndledds- eller håndregion;Skade på arteria radialis i håndledds- og håndregionen;;;;
S652;Skade på overfladisk arteriebue i håndflate;Skade på overfladisk arteriebue i håndflate;;;;
S653;Skade på dyp arteriebue i håndflate;Skade på dyp arteriebue i håndflate;;;;
S654;Skade på blodkar i tommel;Skade på blodkar i tommel;;;;
S655;Skade på blodkar i en annen finger;Skade på blodkar i en annen finger;;;;
S657;Skade på flere blodkar i håndledds- eller håndregion;Skade på flere blodkar i håndledds- og håndregionen;;;;
S658;Skade på annet spesifisert blodkar i håndledds- eller håndregion;Skade på andre spes. blodkar i håndledds- og håndregionen;;;;
S659;Skade på uspesifisert blodkar i håndledds- eller håndregion;Skade på uspesifisert blodkar i håndledds- og håndregionen;;;;X
S660;Skade på bøyemuskel eller -sene for tommel i håndledds- ellerhåndregion;Skade på bøyemuskel/-sene for tommel i håndledds-/håndreg.;;;;
S661;Skade på bøyemuskel eller -sene for fingre i håndledds- eller håndregion;Skade på bøyemuskel/-sene for fingre i håndledds-/håndreg.;;;;
S662;Skade på strekkemuskel eller -sene for tommel, håndledds- eller håndregion;Skade på strekkemuskel/-sene for tommel, håndledds-/håndreg.;;;;
S663;Skade på strekkemuskel eller -sene for fingre, håndledds- eller håndregion;Skade på strekkemuskel/-sene for fingre, håndledds-/håndreg.;;;;
S664;Skade på kort håndmuskel eller -sene for tommel i håndledds- eller håndregion;Sk. korte håndmuskler/-sener for tommel, håndledds-/håndreg.;;;;
S665;Skade på kort muskel eller sene for annen finger i håndledds- eller håndregion;Sk. kort muskel og sene for a. finger, håndledds-/håndreg.;;;;
S666;Skade på flere bøyemuskler eller -sener i håndledds- håndregion;Skade på flere bøyemuskler og -sener i håndledds-/håndreg.;;;;
S667;Skade på flere strekkemuskler eller -sener i håndledds- eller håndregion;Skade på flere strekkemuskler/-sener i håndledds-/håndreg.;;;;
S668;Skade på annen spesifisert muskel eller sene i håndledds- håndregion;Skade på andre spes. muskler og sener i håndledds-/håndreg.;;;;
S669;Skade på uspesifisert muskel eller sene i håndledds- eller håndregion;Skade på uspes. muskel og sene i håndledds-/håndregionen;;;;X
S670;Knusningsskade av tommel eller annen finger;Knusningsskade av fingre, inkludert tommel;;;;
S678;Knusningsskade av annen eller uspesifisert del av håndledd eller hånd;Knusningsskade av andre og uspes. deler av håndledd og hånd;;;;
S680;Fullstendig eller delvis traumatisk amputasjon av tommel;Traumatisk amputasjon av tommel (fullstendig/delvis);;;;
S681;Fullstendig eller delvis traumatisk amputasjon av annen enkeltfinger;Traum. amputasjon av annen enkeltfinger (fullstendig/delvis);;;;
S682;Fullstendig eller delvis traumatisk amputasjon av to eller flere fingre;Traum. amp. av to eller flere fingre (fullstendig/delvis);;;;
S683;Fullstendig eller delvis traumatisk amputasjon av finger eller fingre kombinert med annen del av håndledd eller hånd;Traum. amp. finger (del) komb. med andre deler håndledd/hånd;;;;
S684;Traumatisk amputasjon av hånd ved håndledd;Traumatisk amputasjon av hånd ved håndledd;;;;
S688;Traumatisk amputasjon av annen spesifisert del av håndledd eller hånd;Traumatisk amputasjon av andre spes. deler av håndledd/hånd;;;;
S689;Traumatisk amputasjon av uspesifisert del av håndledd eller hånd;Traumatisk amputasjon av håndledd og hånd, uspesifisert del;;;;X
S697;Flere skader i håndledd eller hånd;Flere skader i håndledd og hånd;;;;
S698;Annen spesifisert skade i håndledd eller hånd;Andre spesifiserte skader i håndledd og hånd;;;;
S699;Uspesifisert skade i håndledd eller hånd;Uspesifisert skade i håndledd og hånd;;;;X
S700;Kontusjon av hofte;Kontusjon av hofte;;;;
S701;Kontusjon av lår;Kontusjon av lår;;;;
S707;Flere overflateskader på hofte eller lår;Flere overflateskader på hofte og lår;;;;
S708;Annen spesifisert overflateskade på hofte eller lår;Andre spesifiserte overflateskader på hofte og lår;;;;
S709;Uspesifisert overflateskade på hofte eller lår;Uspesifisert overflateskade på hofte og lår;;;;X
S710;Åpent sår på hofte;Åpent sår på hofte;;;;
S711;Åpent sår på lår;Åpent sår på lår;;;;
S717;Flere åpne sår på hofte eller lår;Flere åpne sår på hofte og lår;;;;
S718;Åpent sår på annen eller uspesifisert del av bekkenring;Åpent sår på andre og uspesifiserte deler av bekkenring;;;;
S720;Brudd i lårhals;Brudd i lårhals;;;;
S7200;Lukket brudd i lårhals;"Brudd i lårhals;lukket";;;;
S7201;Åpent brudd i lårhals;"Brudd i lårhals;åpent";;;;
S721;Pertrokantært brudd;Pertrokantært brudd;;;;
S7210;Lukket pertrokantært brudd;"Pertrokantært brudd;lukket";;;;
S7211;Åpent pertrokantært brudd;"Pertrokantært brudd;åpent";;;;
S722;Subtrokantært brudd;Subtrokantært brudd;;;;
S7220;Lukket subtrokantært brudd;"Subtrokantært brudd;lukket";;;;
S7221;Åpent subtrokantært brudd;"Subtrokantært brudd;åpent";;;;
S723;Brudd i lårbensskaft;Brudd i lårbensskaft;;;;
S7230;Lukket brudd i lårbensskaft;"Brudd i lårbensskaft;lukket";;;;
S7231;Åpent brudd i lårbensskaft;"Brudd i lårbensskaft;åpent";;;;
S724;Brudd i nedre ende av lårben;Brudd i nedre ende av lårben;;;;
S7240;Lukket brudd i nedre ende av lårben;"Brudd i nedre ende av lårben;lukket";;;;
S7241;Åpent brudd i nedre ende av lårben;"Brudd i nedre ende av lårben;åpent";;;;
S727;Flere brudd i lårben;Flere brudd i lårben;;;;
S7270;Flere lukkede brudd i lårben;"Flere brudd i lårben;lukket";;;;
S7271;Flere åpne brudd i lårben;"Flere brudd i lårben;åpent";;;;
S728;Brudd i annen spesifisert del av lårben;Brudd i andre spesifiserte deler av lårben;;;;
S7280;Lukket brudd i annen spesifisert del av lårben;"Brudd i andre spes deler av lårben;lukket";;;;
S7281;Åpent brudd i annen spes del av lårben;"Brudd i andre spes deler av lårben;åpent";;;;
S729;Brudd i uspesifisert del av lårben;Brudd i lårben, uspesifisert del;;;;X
S7290;Lukket brudd i uspesifisert del av lårben;"Brudd i lårben, uspesifisert del;lukket";;;;X
S7291;Åpent brudd i uspesifisert del av lårben;"Brudd i lårben, uspesifisert del;åpent";;;;X
S730;Dislokasjon av hofte;Dislokasjon av hofte;;;;
S731;Forstuving eller forstrekking av hofte;Forstuving og forstrekking av hofte;;;;
S740;Skade på nervus ischiadicus i hofte- eller lårregion;Skade på nervus ischiadicus i hofte- og lårregionen;;;;
S741;Skade på nervus femoralis i hofte- eller lårregion;Skade på nervus femoralis i hofte- og lårregionen;;;;
S742;Skade på sensorisk hudnerve i hofte- eller lårregion;Skade på sensorisk hudnerve i hofte- og lårregionen;;;;
S747;Skade på flere nerver i hofte- eller lårregion;Skade på flere nerver i hofte- og lårregionen;;;;
S748;Skade på annen spesifisert nerve i hofte- eller lårregion;Skade på andre spesifiserte nerver i hofte- og lårregionen;;;;
S749;Skade på uspesifisert nerve i hofte- eller lårregion;Skade på uspesifisert nerve i hofte- og lårregionen;;;;X
S750;Skade på arteria femoralis;Skade på arteria femoralis;;;;
S751;Skade på vena femoralis i hofte- eller lårregion;Skade på vena femoralis i hofte- og lårregionen;;;;
S752;Skade på vena saphena magna i hofte- eller lårregion;Skade på vena saphena magna i hofte- og lårregionen;;;;
S757;Skade på flere blodkar i hofte- eller lårregion;Skade på flere blodkar i hofte- og lårregionen;;;;
S758;Skade på annet spesifisert blodkar i hofte- eller lårregion;Skade på andre spesifiserte blodkar i hofte- og lårregionen;;;;
S759;Skade på uspesifisert blodkar i hofte- eller lårregion;Skade på uspesifisert blodkar i hofte- og lårregionen;;;;X
S760;Skade på muskel eller sene i hofte;Skade på muskel og sene i hofte;;;;
S761;Skade på quadricepsmuskel eller -sene;Skade på quadricepsmuskel og -sene;;;;
S762;Skade på adduktormuskel eller -sene i hofte- eller lårregion;Skade på adduktormuskel og -sene i hofte- og lårregionen;;;;
S763;Skade på muskel eller sene i lårets bakre muskelgruppe;Skade på muskel og sene i lårets bakre muskelgruppe;;;;
S764;Skade på annen eller uspesifisert muskel eller sene i lårregion;Skade på andre og uspes. muskler og sener i lårregionen;;;;
S767;Skade på flere muskler eller sener i hofte- eller lårregion;Skade på flere muskler og sener i hofte- og lårregionen;;;;
S770;Knusningsskade i hofte;Knusningsskade i hofte;;;;
S771;Knusningsskade i lår;Knusningsskade i lår;;;;
S772;Knusningsskade i hofte med lår;Knusningsskade i hofte med lår;;;;
S780;Traumatisk amputasjon ved hofteledd;Traumatisk amputasjon ved hofteledd;;;;
S781;Traumatisk amputasjon mellom hofte og kne;Traumatisk amputasjon mellom hofte og kne;;;;
S789;Traumatisk amputasjon av uspesifisert del i hofte eller lår;Traumatisk amputasjon av hofte og lår, uspesifisert del;;;;X
S797;Flere skader i hofte eller lår;Flere skader i hofte og lår;;;;
S798;Annen spesifisert skade i hofte eller lår;Andre spesifiserte skader i hofte og lår;;;;
S799;Uspesifisert skade i hofte eller lår;Uspesifisert skade i hofte og lår;;;;X
S800;Kontusjon av kne;Kontusjon av kne;;;;
S801;Kontusjon av annen eller uspesifisert del av legg;Kontusjon av andre og uspesifiserte deler av legg;;;;
S807;Flere overflateskader på legg;Flere overflateskader på legg;;;;
S808;Annen spesifisert overflateskader på kne eller legg;Andre spesifiserte overflateskader på kne og legg;;;;
S809;Uspesifisert overflateskade på kne eller legg;Uspesifisert overflateskade på kne og legg;;;;X
S810;Åpent sår på kne;Åpent sår på kne;;;;
S817;Flere åpne sår på legg;Flere åpne sår på legg;;;;
S818;Åpent sår på annen spesifisert del av kne eller legg;Åpent sår på andre spesifiserte deler av kne og legg;;;;
S819;Åpent sår på uspesifisert del på kne eller legg;Åpent sår på kne og legg, uspesifisert del;;;;X
S820;Brudd i kneskål;Brudd i kneskålpatella;;;;
S8200;Lukket brudd i kneskål;"Brudd i kneskålpatella;lukket";;;;
S8201;Åpent brudd i kneskål;"Brudd i kneskålpatella;åpent";;;;
S821;Brudd i proksimal ende av skinneben;Brudd i proksimal ende av skinneben;;;;
S8210;Lukket brudd i proksimal ende av skinneben;"Brudd i proksimal ende av skinneben;lukket";;;;
S8211;Åpent brudd i proksimal ende av skinneben;"Brudd i proksimal ende av skinneben;åpent";;;;
S822;Brudd i skinnebensskaft;Brudd i skinnebensskaft;;;;
S8220;Lukket brudd i skinnebensskaft;"Brudd i skinnebensskaft;lukket";;;;
S8221;Åpent brudd i skinnebensskaft;"Brudd i skinnebensskaft;åpent";;;;
S823;Brudd i distal ende av skinneben;Brudd i distal ende av skinneben;;;;
S8230;Lukket brudd i distal ende av skinneben;"Brudd i distal ende av skinneben;lukket";;;;
S8231;Åpent brudd i distal ende av skinneben;"Brudd i distal ende av skinneben;åpent";;;;
S824;Brudd i leggben alene;Brudd i leggben alene;;;;
S8240;Lukket brudd i leggben alene;"Brudd i leggben alene;lukket";;;;
S8241;Åpent brudd i leggben alene;"Brudd i leggben alene;åpent";;;;
S825;Brudd i medial malleol;Brudd i medial malleol;;;;
S8250;Lukket brudd i medial malleol;"Brudd i medial malleol;lukket";;;;
S8251;Åpent brudd i medial malleol;"Brudd i medial malleol;åpent";;;;
S826;Brudd i lateral malleol;Brudd i lateral malleol;;;;
S8260;Lukket i lateral malleol;"Brudd i lateral malleol;lukket";;;;
S8261;Åpent brudd i lateral malleol;"Brudd i lateral malleol;åpent";;;;
S827;Flere brudd i legg;Flere brudd i legg;;;;
S8270;Flere lukkede brudd i legg;"Flere brudd i legg;lukket";;;;
S8271;Flere åpne brudd i legg;"Flere brudd i legg;åpent";;;;
S828;Brudd i annen spesifisert del av legg;Brudd i andre spesifiserte deler av legg;;;;
S8280;Lukket brudd i annen spesifisert del av legg;"Brudd i andre spes deler av legg;lukket";;;;
S8281;Åpent brudd i annen spesifisert del av legg;"Brudd i andre spes deler av legg;åpent";;;;
S829;Brudd i uspesifisert del av legg;Brudd i legg, uspesifisert del;;;;X
S8290;Lukket brudd i uspesifisert del av legg;"Brudd i legg, uspesifisert del;lukket";;;;X
S8291;Åpent brudd i uspesifiert del av legg;"Brudd i legg, uspesifisert del;åpent";;;;X
S830;Dislokasjon av kneskål;Dislokasjon av kneskål;;;;
S831;Dislokasjon av kne;Dislokasjon av kne;;;;
S832;Fersk skade i menisk;Fersk skade i menisk;;;;
S833;Fersk skade i leddbrusk i kne;Fersk skade i leddbrusk i kne;;;;
S834;Forstuving, ruptur eller forstrekking som omfatter medialt eller lateralt kollateralligament i kne;Forstuv./rupt./forstr. som omfatter kollateralligament i kne;;;;
S835;Forstuving, ruptur eller forstrekking som omfatter fremre eller bakre korsbånd i kne;Forstuving/ruptur/forstrekking som omfatter korsbånd i kne;;;;
S836;Forstuving, ruptur eller forstrekking av annen eller uspesifisert del av kne;Forstuving/ruptur/forstrekking av andre og uspes. deler, kne;;;;
S837;Skade på flere strukturer i kne;Skade på flere strukturer i kne;;;;
S840;Skade på nervus tibialis i legg;Skade på nervus tibialis i legg;;;;
S841;Skade på nervus fibularis i legg;Skade på nervus fibularis i legg;;;;
S842;Skade på sensorisk hudnerve i legg;Skade på sensorisk hudnerve i legg;;;;
S847;Skade på flere nerver i legg;Skade på flere nerver i legg;;;;
S848;Skade på annen spesifisert nerve i legg;Skade på andre spesifiserte nerver i legg;;;;
S849;Skade på uspesifisert nerve i legg;Skade på uspesifisert nerve i legg;;;;X
S850;Skade på arteria poplitea;Skade på arteria poplitea;;;;
S851;Skade på arteria tibialis anterior eller posterior;Skade på arteria tibialis (anterior/posterior);;;;
S852;Skade på arteria fibularis;Skade på arteria fibularis;;;;
S853;Skade på vena saphena magna i legg;Skade på vena saphena magna i legg;;;;
S854;Skade på vena saphena parva i legg;Skade på vena saphena parva i legg;;;;
S855;Skade på vena poplitea;Skade på vena poplitea;;;;
S857;Skade på flere blodkar i legg;Skade på flere blodkar i legg;;;;
S858;Skade på annet spesifisert blodkar i legg;Skade på andre spesifiserte blodkar i legg;;;;
S859;Skade på uspesifisert blodkar i legg;Skade på uspesifisert blodkar i legg;;;;X
S860;Skade på akillessene;Skade på akillessene;;;;
S861;Skade på annen muskel eller sene i leggens bakre muskelgruppe;Skade på annen muskel og sene i leggens bakre muskelgruppe;;;;
S862;Skade på muskel eller sene i leggens fremre muskelgruppe;Skade på muskel og sene i leggens fremre muskelgruppe;;;;
S863;Skade på muskel eller sene i peroneus-gruppe;Skade på muskel og sene i peroneus-gruppe;;;;
S867;Skade på flere muskler eller sener i legg;Skade på flere muskler og sener i legg;;;;
S868;Skade på annen spesifisert muskel eller sene i legg;Skade på andre spesifiserte muskler og sener i legg;;;;
S869;Skade på uspesifisert muskel eller sene i legg;Skade på uspesifisert muskel og sene i legg;;;;X
S870;Knusningsskade av kne;Knusningsskade av kne;;;;
S878;Knusningsskade av annen eller uspesifisert del av legg;Knusningsskade av andre og uspesifiserte deler av legg;;;;
S880;Traumatisk amputasjon ved kne;Traumatisk amputasjon ved kne;;;;
S881;Traumatisk amputasjon mellom kne og ankel;Traumatisk amputasjon mellom kne og ankel;;;;
S889;Traumatisk amputasjon av uspesifisert del av legg;Traumatisk amputasjon av legg, uspesifisert del;;;;X
S897;Flere skader i legg;Flere skader i legg;;;;
S898;Annen spesifisert skade i legg;Andre spesifiserte skader i legg;;;;
S899;Uspesifisert skade i legg;Uspesifisert skade i legg;;;;X
S900;Kontusjon av ankel;Kontusjon av ankel;;;;
S901;Kontusjon av tå uten skade på negl;Kontusjon av tå uten skade på negl;;;;
S902;Kontusjon av tå med skade på negl;Kontusjon av tå med skade på negl;;;;
S903;Kontusjon av annen eller uspesifisert del av fot;Kontusjon av andre og uspesifiserte deler av fot;;;;
S907;Flere overflateskader på ankel eller fot;Flere overflateskader på ankel og fot;;;;
S908;Annen spesifisert overflateskade på ankel eller fot;Andre spesifiserte overflateskader på ankel og fot;;;;
S909;Uspesifisert overflateskade på ankel eller fot;Uspesifisert overflateskade på ankel og fot;;;;X
S910;Åpent sår på ankel;Åpent sår på ankel;;;;
S911;Åpent sår på tå uten skade på negl;Åpent sår på tå uten skade på negl;;;;
S912;Åpent sår på tå med skade på negl;Åpent sår på tå med skade på negl;;;;
S913;Åpent sår på annen del av fot;Åpent sår på andre deler av fot;;;;
S917;Flere åpne sår på ankel eller fot;Flere åpne sår på ankel og fot;;;;
S920;Brudd i calcaneus;Brudd i calcaneus;;;;
S9200;Lukket brudd i calcaneus;"Brudd i calcaneus;lukket";;;;
S9201;Åpent brudd i calcaneus;"Brudd i calcaneus;åpent";;;;
S921;Brudd i vristben;Brudd i vristben;;;;
S9210;Lukket brudd i vristben;"Brudd i vristben;lukket";;;;
S9211;Åpent brudd i vristben;"Brudd i vristben;åpent";;;;
S922;Brudd i annen fotrotsknokkel;Brudd i andre fotrotsknokler;;;;
S9220;Lukket brudd i annen fotrotsknokkel;"Brudd i andre fotrotsknokler;lukket";;;;
S9221;Åpent brudd i annen fotrotsknokkel;"Brudd i andre fotrotsknokler;åpent";;;;
S923;Brudd i metatarsalben;Brudd i metatarsalben;;;;
S9230;Lukket brudd i metatarsalben;"Brudd i metatarsalben;lukket";;;;
S9231;Åpent brudd i metatarsalben;"Brudd i metatarsalben;åpent";;;;
S924;Brudd i stortå;Brudd i stortå;;;;
S9240;Lukket brudd i stortå;"Brudd i stortå;lukket";;;;
S9241;Åpent brudd i stortå;"Brudd i stortå;åpent";;;;
S925;Brudd i en annen tå;Brudd i en annen tå;;;;
S9250;Lukket brudd i en annen tå;"Brudd i en annen tå;lukket";;;;
S9251;Åpent brudd i en annen tå;"Brudd i en annen tå;åpent";;;;
S927;Flere brudd i fot;Flere brudd i fot;;;;
S9270;Flere lukkede brudd i fot;"Flere brudd i fot;lukket";;;;
S9271;Flere åpne brudd i fot;"Flere brudd i fot;åpent";;;;
S929;Uspesifisert brudd i fot;Uspesifisert brudd i fot;;;;X
S9290;Uspesifisert lukket brudd i fot;"Uspesifisert brudd i fot;lukket";;;;X
S9291;Uspesifisert åpent brudd i fot;"Uspesifisert brudd i fot;åpent";;;;X
S930;Dislokasjon av ankelledd;Dislokasjon av ankelledd;;;;
S931;Dislokasjon av tå;Dislokasjon av tå;;;;
S932;Ruptur av leddbånd i ankel eller fot;Ruptur av leddbånd i ankel og fot;;;;
S933;Dislokasjon av annen eller uspesifisert del av fot;Dislokasjon av andre og uspesifiserte deler av fot;;;;
S934;Forstuving eller forstrekking av ankelligament;Forstuving og forstrekking av ankelligament;;;;
S935;Forstuving eller forstrekking av tå;Forstuving og forstrekking av tå;;;;
S936;Forstuving eller forstrekking av annen eller uspesifisert del av fot;Forstuving og forstrekking av andre og uspes. deler av fot;;;;
S940;Skade på nervus plantaris lateralis;Skade på nervus plantaris lateralis;;;;
S941;Skade på nervus plantaris medialis;Skade på nervus plantaris medialis;;;;
S942;Skade på nervus fibularis profundus i ankel eller fot;Skade på nervus fibularis profundus i ankel og fot;;;;
S943;Skade på sensorisk hudnerve i ankel eller fot;Skade på sensorisk hudnerve i ankel og fot;;;;
S947;Skade på flere nerver i ankel eller fot;Skade på flere nerver i ankel og fot;;;;
S948;Skade på annen spesifisert nerve i ankel eller fot;Skade på andre spesifiserte nerver i ankel og fot;;;;
S949;Skade på uspesifisert nerve i ankel eller fot;Skade på uspesifisert nerve i ankel og fot;;;;X
S950;Skade på arteria dorsalis pedis;Skade på arteria dorsalis pedis;;;;
S951;Skade på arteria plantaris;Skade på arteria plantaris;;;;
S952;Skade på vene på fotrygg;Skade på vene på fotrygg;;;;
S957;Skade på flere blodkar i ankel eller fot;Skade på flere blodkar i ankel og fot;;;;
S958;Skade på annet spesifisert blodkar i ankel eller fot;Skade på andre spesifiserte blodkar i ankel og fot;;;;
S959;Skade på uspesifisert blodkar i ankel eller fot;Skade på uspesifisert blodkar i ankel og fot;;;;X
S960;Skade på lang tåfleksors muskel eller sene i ankel eller fot;Skade på lange tåfleksors muskel og sene i ankel og fot;;;;
S961;Skade på lang tåekstensors muskel eller sene i ankel eller fot;Skade på lange tåekstensors muskel og sene i ankel og fot;;;;
S962;Skade på kort muskel eller sene i ankel eller fot;Skade på korte muskel og sene i ankel og fot;;;;
S967;Skade på flere muskler eller sener i ankel eller fot;Skade på flere muskler og sener i ankel og fot;;;;
S968;Skade på annen spesifisert muskel eller sene i ankel eller fot;Skade på andre spesifiserte muskler og sener i ankel og fot;;;;
S969;Skade på uspesifisert muskel eller sene i ankel eller fot;Skade på uspesifisert muskel og sene i ankel og fot;;;;X
S970;Knusningsskade av ankel;Knusningsskade av ankel;;;;
S971;Knusningsskade av tå;Knusningsskade av tå;;;;
S978;Knusningsskade av annen spesifisert del av ankel eller fot;Knusningsskade av andre spesifiserte deler av ankel og fot;;;;
S980;Traumatisk amputasjon ved ankel;Traumatisk amputasjon ved ankel;;;;
S981;Traumatisk amputasjon av en tå;Traumatisk amputasjon av én tå;;;;
S982;Traumatisk amputasjon av to eller flere tær;Traumatisk amputasjon av to eller flere tær;;;;
S983;Traumatisk amputasjon av annen del av fot;Traumatisk amputasjon av andre deler av fot;;;;
S984;Traumatisk amputasjon av uspesifisert del av fot;Traumatisk amputasjon av fot, uspesifisert del;;;;X
S997;Flere skader i ankel eller fot;Flere skader i ankel og fot;;;;
S998;Annen spesifisert skade i ankel eller fot;Andre spesifiserte skader i ankel og fot;;;;
S999;Uspesifisert skade i ankel eller fot;Uspesifisert skade i ankel og fot;;;;X
T000;Overflateskader som omfatter hode med hals;Overflateskader som omfatter hode med hals;;;;
T001;Overflateskader som omfatter brystkasse med buk, nedre del av rygg eller bekken;O.fl.sk. s. omf. br.kasse med buk/nedre del av rygg og bk.;;;;
T002;Overflateskader som omfatter flere regioner av en eller begge overekstremiteter;O.fl.sk. som omfatter flere regioner av overekstremitet(er);;;;
T003;Overflateskader som omfatter flere regioner av en eller begge underekstremiteter;O.fl.sk. som omfatter flere regioner av underekstremitet(er);;;;
T006;Overflateskader som omfatter flere regioner av overekstremiteter med underekstremiteter;O.fl.sk. s. omfatter flere reg. av o.eks.(er) med u.eks.(er);;;;
T008;Overflateskader som omfatter andre spesifiserte kombinasjoner av kroppsregioner;O.fl.sk. s. omf. andre spes. kombinasjoner av kroppsregioner;;;;
T009;Flere uspesifiserte overflateskader;Flere overflateskader, uspesifisert;;;;X
T010;Åpne sår som omfatter hode med hals;Åpne sår som omfatter hode med hals;;;;
T011;Åpne sår som omfatter brystkasse med buk, nedre del rygg og bekken;Åpne sår s. omf. br.kasse med buk, nedre del rygg og bekken;;;;
T012;Åpne sår som omfatter flere regioner av en eller begge overekstremiteter;Åpne sår som omfatter flere regioner av overekstremitet(er);;;;
T013;Åpne sår som omfatter flere regioner av en eller begge underekstremiteter;Åpne sår som omfatter flere regioner av underekstremitet(er);;;;
T016;Åpne sår sår omfatter flere regioner av overekstermiteter med underekstremiteter;Åpne sår s. omfatter flere reg. av o.eks.(er) med u.eks.(er);;;;
T018;Åpne sår som omfatter andre spesifiserte kombinasjoner av kroppsregioner;Åpne sår som omfatter andre spes. komb. av kroppsregioner;;;;
T019;Flere uspesifiserte åpne sår;Flere åpne sår, uspesifisert;;;;X
T020;Brudd som omfatter hode med hals;Brudd som omfatter hode med hals;;;;
T0200;Lukkede brudd som omfatter hode med hals;"Brudd som omfatter hode med hals;lukket";;;;
T0201;Åpne brudd som omfatter hode med hals;"Brudd som omfatter hode med hals;åpent";;;;
T021;Brudd som omfatter brystkasse med nedre del rygg eller bekken;Brudd som omfatter brystkasse med nedre del rygg og bekken;;;;
